Timestamp,Initials,Shot Distance (feet),# Out of 5,Group
2024-11-19 09:26:56,A7A,2,4,St. Thomas More Catholic Elementary School
2024-11-19 09:27:18,EIMHB,4,4,St. Thomas More Catholic Elementary School
2024-11-19 09:27:23,VLU,2,2,St. Thomas More Catholic Elementary School
2024-11-19 09:27:33,fb7,4,4,St. Thomas More Catholic Elementary School
2024-11-19 09:28:28,AJP,2,2,St. Thomas More Catholic Elementary School
2024-11-19 09:28:41,WBE,2,5,St. Thomas More Catholic Elementary School
2024-11-19 09:28:50,JNS,4,3,St. Thomas More Catholic Elementary School
2024-11-19 09:29:07,IBP,6,3,St. Thomas More Catholic Elementary School
2024-11-19 09:29:15,ZMM,4,0,St. Thomas More Catholic Elementary School
2024-11-19 09:29:20,WBE,4,5,St. Thomas More Catholic Elementary School
2024-11-19 09:29:23,IGN,4,3,St. Thomas More Catholic Elementary School
2024-11-19 09:29:33,VLU,4,2,St. Thomas More Catholic Elementary School
2024-11-19 09:29:34,KCAM,2,3,St. Thomas More Catholic Elementary School
2024-11-19 09:29:43,AC,2,4,St. Thomas More Catholic Elementary School
2024-11-19 09:29:44,A7A,4,3,St. Thomas More Catholic Elementary School
2024-11-19 09:29:53,KKA,10,3,St. Thomas More Catholic Elementary School
2024-11-19 09:29:59,JEL19,10,1,St. Thomas More Catholic Elementary School
2024-11-19 09:30:04,MAT,4,3,St. Thomas More Catholic Elementary School
2024-11-19 09:30:08,JHS,6,4,St. Thomas More Catholic Elementary School
2024-11-19 09:30:09,AC,6,3,St. Thomas More Catholic Elementary School
2024-11-19 09:30:16,AY,4,2,St. Thomas More Catholic Elementary School
2024-11-19 09:30:17,KKA,8,4,St. Thomas More Catholic Elementary School
2024-11-19 09:30:25,Micaela,8,0,St. Thomas More Catholic Elementary School
2024-11-19 09:30:27,KCAM,2,3,St. Thomas More Catholic Elementary School
2024-11-19 09:30:29,JEL19,2,1,St. Thomas More Catholic Elementary School
2024-11-19 09:30:29,JA18,8,1,St. Thomas More Catholic Elementary School
2024-11-19 09:30:30,KKA,6,2,St. Thomas More Catholic Elementary School
2024-11-19 09:30:30,JUN,10,4,St. Thomas More Catholic Elementary School
2024-11-19 09:30:36,AJP,4,2,St. Thomas More Catholic Elementary School
2024-11-19 09:30:42,EEA,2,1,St. Thomas More Catholic Elementary School
2024-11-19 09:30:44,KKA,2,5,St. Thomas More Catholic Elementary School
2024-11-19 09:30:45,AC,8,3,St. Thomas More Catholic Elementary School
2024-11-19 09:30:46,MJY,10,3,St. Thomas More Catholic Elementary School
2024-11-19 09:30:46,SEI,8,5,St. Thomas More Catholic Elementary School
2024-11-19 09:30:49,DAB,2,5,St. Thomas More Catholic Elementary School
