Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Dakota Joshua,C,63,18,14,32,19,60,14:23,1,0,84,21.4,1377,5,34,38,47.2,0,0,0.0
Cole Sillinger,C,77,13,19,32,-4,46,16:07,1,0,157,8.3,1602,1,450,522,46.3,0,0,0.0
Ilya Mikheyev,RW,78,11,20,31,1,4,14:15,0,0,147,7.5,1532,1,8,21,27.6,0,0,0.0
Lars Eller,C,82,15,16,31,-1,32,15:57,4,1,154,9.7,1850,0,487,445,52.3,1,1,100.0
Brendan Gallagher,RW,77,16,15,31,-24,74,13:47,1,3,154,10.4,1355,2,14,20,41.2,1,0,0.0
Tyler Johnson,C,67,17,14,31,-35,26,15:32,8,8,112,15.2,1190,1,156,195,44.4,1,0,0.0
Erik Gustafsson,D,76,6,25,31,3,35,17:23,0,9,93,6.5,1577,1,0,0,0.0,0,0,0.0
Ondrej Palat,LW,71,11,20,31,-9,37,15:38,1,4,108,10.2,1607,0,4,13,23.5,0,0,0.0
Dylan DeMelo,D,82,3,28,31,46,36,21:43,0,1,83,3.6,2213,0,0,0,0.0,0,0,0.0
Seth Jones,D,67,8,23,31,-15,34,25:29,3,6,172,4.7,1760,4,0,0,0.0,0,0,0.0
Jack Roslovic,C,59,9,22,31,-10,16,15:33,0,4,117,7.7,1172,3,54,72,42.9,0,0,0.0
Jordan Staal,C,80,10,20,30,-14,44,15:22,0,1,123,8.1,1783,3,799,576,58.1,0,0,0.0
Marcus Johansson,LW,78,11,19,30,-15,22,15:53,1,5,112,9.8,1424,0,6,26,18.8,1,0,0.0
Justin Faulk,D,60,2,28,30,-2,39,21:57,1,6,132,1.5,1605,1,0,0,0.0,0,0,0.0
Jaden Schwartz,C,62,13,17,30,-15,24,16:21,7,3,117,11.1,1278,0,92,69,57.1,0,0,0.0
Alex Wennberg,C,79,10,20,30,0,14,17:59,3,3,90,11.1,1811,4,552,636,46.5,2,0,0.0
Marcus Pettersson,D,82,4,26,30,28,44,22:40,0,0,106,3.8,2137,1,0,0,0.0,0,0,0.0
Ryan Donato,C,78,12,18,30,-14,26,13:59,1,2,149,8.1,1272,0,98,124,44.1,1,0,0.0
Thomas Chabot,D,51,9,21,30,-3,22,23:02,1,6,118,7.6,1325,0,0,0,0.0,0,0,0.0
Josh Norris,C,50,16,14,30,-6,22,17:38,5,7,115,13.9,1249,3,328,301,52.1,2,1,50.0
Alexandre Texier,C,78,12,18,30,-5,38,15:10,0,2,109,11.0,1509,1,6,13,31.6,3,2,66.7
K'Andre Miller,D,80,8,22,30,5,49,21:33,0,1,96,8.3,2033,3,0,0,0.0,0,0,0.0
Ryan McLeod,C,81,12,18,30,10,10,14:14,0,1,106,11.3,1502,3,365,353,50.8,0,0,0.0
Cam York,D,82,10,20,30,-13,44,22:37,0,6,134,7.5,2435,1,0,0,0.0,0,0,0.0
Zach Benson,LW,71,11,19,30,-3,36,14:31,0,2,98,11.2,1286,1,5,12,29.4,0,0,0.0
Michael Carcone,LW,74,21,8,29,-2,35,11:16,1,1,111,18.9,1161,4,4,9,30.8,0,0,0.0
Pius Suter,C,67,14,15,29,17,16,15:29,2,3,105,13.3,1439,3,186,191,49.3,1,0,0.0
Sean Walker,D,81,10,19,29,11,50,19:13,0,1,150,6.7,2087,1,0,0,0.0,0,0,0.0
Bowen Byram,D,73,11,18,29,0,53,20:20,0,1,84,13.1,1772,0,0,0,0.0,0,0,0.0
Aliaksei Protas,C,78,6,23,29,-3,8,13:44,0,0,113,5.3,1452,1,42,62,40.4,0,0,0.0
Yegor Chinakhov,RW,53,16,13,29,-3,6,15:10,1,1,110,14.5,1021,3,1,13,7.1,1,0,0.0
Leo Carlsson,C,55,12,17,29,-11,16,18:06,4,5,109,11.0,1144,0,195,366,34.8,3,2,66.7
Tyler Myers,D,77,5,24,29,16,77,18:56,0,0,93,5.4,1953,0,0,0,0.0,0,0,0.0
Kevin Hayes,RW,79,13,16,29,0,12,14:28,0,5,153,8.5,1415,2,478,360,57.0,0,0,0.0
Nick Leddy,D,82,3,25,28,14,14,22:21,0,1,82,3.7,2123,0,0,0,0.0,0,0,0.0
Cam Atkinson,RW,70,13,15,28,-22,27,15:56,2,4,175,7.4,1486,3,12,13,48.0,1,0,0.0
Jake McCabe,D,73,8,20,28,20,56,20:39,1,1,73,11.0,2088,3,0,0,0.0,0,0,0.0
Teddy Blueger,C,68,6,22,28,4,31,14:56,0,0,97,6.2,1465,0,415,366,53.1,0,0,0.0
Damon Severson,D,67,9,19,28,-10,51,21:08,0,3,88,10.2,1580,1,0,0,0.0,1,1,100.0
Pierre Engvall,LW,74,10,18,28,4,18,15:19,2,5,128,7.8,1457,1,25,29,46.3,0,0,0.0
Jordan Greenway,LW,67,10,18,28,11,64,17:14,1,2,107,9.3,1401,1,17,40,29.8,0,0,0.0
Ryan Poehling,C,77,11,17,28,-11,6,14:59,1,1,111,9.9,1575,1,461,477,49.1,0,0,0.0
Joe Veleno,C,80,12,16,28,-16,25,13:57,3,2,86,14.0,1433,1,305,317,49.0,0,0,0.0
Jake Evans,C,82,7,21,28,-1,24,16:01,0,0,81,8.6,1695,1,593,544,52.2,1,0,0.0
Alexander Holtz,RW,82,16,12,28,-15,14,11:38,1,1,122,13.1,1319,3,8,19,29.6,0,0,0.0
Pavel Mintyukov,D,63,4,24,28,-20,24,18:50,0,7,88,4.5,1469,0,0,0,0.0,0,0,0.0
Eetu Luostarinen,C,82,12,15,27,1,26,15:56,2,0,119,10.1,1804,2,96,83,53.6,0,0,0.0
Jesperi Kotkaniemi,C,79,12,15,27,-4,36,12:58,1,1,128,9.4,1313,0,333,313,51.5,0,0,0.0
Jack Drury,C,74,8,19,27,4,33,12:16,2,5,106,7.5,1207,0,367,297,55.3,0,0,0.0
Kiefer Sherwood,LW,68,10,17,27,17,41,12:10,0,0,110,9.1,1146,2,15,16,48.4,0,0,0.0
Shane Pinto,C,41,9,18,27,9,14,18:06,4,2,110,8.2,951,1,251,245,50.6,0,0,0.0
Nicholas Robertson,LW,56,14,13,27,4,4,11:22,1,2,96,14.6,866,1,3,8,27.3,2,0,0.0
Adam Fantilli,C,49,12,15,27,-21,16,15:42,1,2,115,10.4,897,1,171,221,43.6,0,0,0.0
Jonas Brodin,D,62,7,20,27,22,16,23:22,0,1,117,6.0,1576,1,0,0,0.0,0,0,0.0
Michael Amadio,RW,73,14,13,27,4,16,13:23,3,2,117,12.0,1178,2,69,65,51.5,0,0,0.0
Alex Iafallo,LW,82,11,16,27,14,6,15:18,2,3,120,9.2,1562,2,8,17,32.0,0,0,0.0
TJ Brodie,D,78,1,25,26,17,40,21:43,0,0,52,1.9,2265,0,0,0,0.0,0,0,0.0
Brayden McNabb,D,82,4,22,26,18,37,19:21,0,1,86,4.7,1951,0,0,0,0.0,0,0,0.0
Erik Gudbranson,D,78,6,20,26,-14,74,19:39,0,0,91,6.6,1738,1,0,0,0.0,0,0,0.0
Dmitry Orlov,D,82,6,20,26,4,36,17:18,0,5,129,4.7,1713,1,0,0,0.0,0,0,0.0
Justin Schultz,D,70,7,19,26,-23,22,16:28,0,10,100,7.0,1514,2,0,0,0.0,1,0,0.0
Hampus Lindholm,D,73,3,23,26,18,63,23:17,1,4,99,3.0,2139,0,0,0,0.0,0,0,0.0
Miles Wood,LW,74,9,17,26,-5,75,13:41,0,0,167,5.4,1456,1,13,28,31.7,0,0,0.0
Colton Parayko,D,82,10,16,26,4,23,23:51,0,1,154,6.5,2248,4,0,0,0.0,0,0,0.0
Esa Lindell,D,82,5,21,26,17,12,20:28,0,0,114,4.4,1980,0,0,0,0.0,0,0,0.0
Jimmy Vesey,LW,80,13,13,26,-4,20,12:22,0,0,116,11.2,1393,4,9,14,39.1,0,0,0.0
Ridly Greig,C,72,13,13,26,10,66,14:44,2,0,97,13.4,1489,1,197,252,43.9,0,0,0.0
Jack McBain,C,67,8,18,26,8,50,12:37,0,0,56,14.3,1253,2,294,356,45.2,0,0,0.0
Janis Moser,D,80,5,21,26,-5,35,20:34,0,3,77,6.5,2199,0,0,0,0.0,0,0,0.0
Justin Danforth,RW,71,10,16,26,-10,26,14:16,0,0,86,11.6,1286,1,173,184,48.5,0,0,0.0
Michael Eyssimont,C,81,11,14,25,7,104,11:51,2,2,149,7.4,1359,2,6,7,46.2,1,0,0.0
Paul Cotter,C,76,7,18,25,-11,41,12:43,2,2,100,7.0,1186,0,26,27,49.1,1,0,0.0
Simon Holmstrom,RW,75,15,10,25,2,14,13:19,0,0,72,20.8,1455,3,6,13,31.6,2,1,50.0
Artem Zub,D,69,5,20,25,5,32,21:01,0,0,85,5.9,1789,0,0,0,0.0,0,0,0.0
T.J. Oshie,RW,52,12,13,25,-6,44,16:52,7,4,90,13.3,1085,4,12,31,27.9,4,1,25.0
Joel Armia,RW,66,17,8,25,4,34,15:33,0,0,139,12.2,1278,3,5,11,31.3,2,0,0.0
Josh Manson,D,76,8,17,25,11,87,17:46,0,0,123,6.5,1744,0,0,1,0.0,0,0,0.0
Cody Ceci,D,79,5,20,25,12,14,20:01,0,0,97,5.2,1835,0,0,0,0.0,0,0,0.0
Curtis Lazar,C,71,7,18,25,10,44,12:23,0,0,74,9.5,1346,2,178,187,48.8,0,0,0.0
Jake Middleton,D,80,7,18,25,-15,77,19:48,0,0,85,8.2,1915,1,0,0,0.0,0,0,0.0
Will Borgen,D,82,3,22,25,-5,65,17:35,0,0,97,3.1,1941,0,0,0,0.0,0,0,0.0
John Marino,D,75,4,21,25,-6,41,20:57,0,0,57,7.0,1969,1,0,0,0.0,0,0,0.0
Matt Roy,D,81,5,20,25,21,42,20:53,0,1,135,3.7,1908,1,0,0,0.0,0,0,0.0
Logan O'Connor,RW,57,13,12,25,13,34,14:57,0,0,85,15.3,1177,4,29,35,45.3,0,0,0.0
