Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Malcolm Thomas,PF,17,11.4,2.6,1.1,2.4,45.0,0.0,0.4,0.0,0.5,0.8,69.2,3.3,0.4,0.2,0.1,0.8,0,0
Nick Johnson,G,28,9.4,2.6,0.9,2.7,34.7,0.2,0.8,23.8,0.6,0.9,68.0,1.4,0.4,0.3,0.1,0.7,0,0
JaMychal Green,F,24,6.8,2.6,1.1,2.0,57.4,0.0,0.3,0.0,0.3,0.4,80.0,1.9,0.2,0.2,0.2,0.6,0,0
Russ Smith,PG,12,5.4,2.5,0.7,2.1,32.0,0.2,0.9,18.2,1.0,1.1,92.3,0.5,0.7,0.3,0.0,1.0,0,0
Victor Claver,PF,10,7.6,2.4,0.9,2.0,45.0,0.6,1.1,54.5,0.0,0.0,0.0,2.0,0.1,0.1,0.1,0.4,0,0
Jeremy Evans,F,38,7.0,2.4,0.8,1.5,55.2,0.1,0.1,40.0,0.6,0.8,82.8,1.9,0.3,0.3,0.3,0.1,0,0
Devyn Marble,G,16,13.0,2.3,0.9,2.8,31.8,0.3,1.4,18.2,0.3,1.0,31.3,1.9,1.1,0.6,0.1,0.6,0,0
Furkan Aldemir,PF,41,13.2,2.3,1.0,1.9,51.3,0.0,0.1,0.0,0.3,0.7,48.1,4.3,0.7,0.4,0.4,0.4,1,0
Kyle Anderson,SF,33,10.8,2.2,0.9,2.7,34.8,0.1,0.3,27.3,0.3,0.4,64.3,2.2,0.8,0.5,0.2,0.3,0,0
Xavier Henry,SG,9,9.6,2.2,0.3,1.4,23.1,0.0,0.0,0.0,1.6,2.7,58.3,0.4,0.3,0.3,0.0,0.3,0,0
Glen Rice Jr.,SG,5,8.6,2.2,0.6,3.0,20.0,0.2,1.4,14.3,0.8,1.2,66.7,0.8,0.4,0.0,0.0,0.4,0,0
Darius Morris,G,38,7.9,2.2,0.9,2.8,34.0,0.2,0.9,21.2,0.1,0.2,44.4,0.7,1.3,0.2,0.0,0.6,0,0
Mike Miller,SG,52,13.5,2.1,0.7,2.2,32.5,0.6,1.9,32.7,0.1,0.1,75.0,1.8,0.9,0.3,0.1,0.4,0,0
Glenn Robinson III,F,35,7.5,2.1,0.7,1.9,38.8,0.1,0.5,26.3,0.5,0.7,66.7,1.1,0.3,0.2,0.0,0.3,0,0
John Salmons,SF,21,12.9,2.0,0.8,2.3,33.3,0.4,1.2,30.8,0.1,0.2,50.0,1.0,0.6,0.4,0.2,0.2,0,0
Earl Barron,C,16,8.9,2.0,0.8,2.4,30.8,0.1,0.3,50.0,0.4,0.8,50.0,1.8,0.3,0.3,0.1,0.3,0,0
Tyrus Thomas,PF,2,3.5,2.0,0.5,0.5,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.5,0.0,0.0,0.0,0,0
Nate Wolters,PG,21,11.8,2.0,1.0,2.7,35.1,0.0,0.3,0.0,0.1,0.3,33.3,1.6,1.0,0.4,0.1,0.6,0,0
Grant Jerrett,PF,8,6.4,2.0,0.9,3.3,26.9,0.1,1.9,6.7,0.1,0.1,100.0,1.1,0.4,0.3,0.3,0.4,0,0
Julius Randle,PF,1,14.0,2.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
CJ Wilcox,G,21,4.8,2.0,0.8,1.8,42.1,0.3,0.9,36.8,0.1,0.1,100.0,0.3,0.4,0.1,0.0,0.5,0,0
DeJuan Blair,C,29,6.2,1.9,0.9,2.0,45.6,0.0,0.0,0.0,0.1,0.2,66.7,1.9,0.1,0.2,0.0,0.4,0,0
Reggie Bullock Jr.,SF,36,9.4,1.9,0.7,1.9,34.3,0.4,1.3,32.6,0.2,0.3,66.7,1.4,0.2,0.3,0.1,0.2,0,0
Greg Smith,PF,42,8.6,1.9,0.7,1.2,61.2,0.0,0.0,0.0,0.5,0.9,51.3,1.9,0.2,0.2,0.3,0.3,0,0
Ian Clark,G,30,6.4,1.9,0.6,1.8,34.5,0.3,1.0,33.3,0.3,0.3,100.0,0.5,0.4,0.3,0.1,0.3,0,0
Drew Gordon,C,9,7.9,1.9,0.9,2.1,42.1,0.0,0.3,0.0,0.1,0.2,50.0,2.0,0.2,0.1,0.0,0.9,0,0
