Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Marc Staal,D,82,3,12,15,10,43,18:11,0,0,55,5.5,2046,0,0,0,0.0,0,0,0.0
Ryan Reaves,RW,73,5,10,15,-6,43,9:19,0,0,48,10.4,889,0,4,11,26.7,0,0,0.0
Cody Ceci,D,80,1,14,15,11,24,20:08,0,0,88,1.1,1854,0,0,0,0.0,0,0,0.0
Jake Middleton,D,79,3,12,15,15,72,19:02,0,0,79,3.8,1824,0,0,0,0.0,0,0,0.0
Oskar Lindblom,LW,73,6,9,15,-16,18,10:34,0,1,75,8.0,1181,0,9,10,47.4,0,0,0.0
Colin White,C,68,8,7,15,0,12,9:38,0,0,64,12.5,949,0,84,111,43.1,0,0,0.0
Nathan Bastian,RW,43,6,9,15,7,31,12:26,0,0,62,9.7,751,1,11,26,29.7,0,0,0.0
Mathieu Olivier,RW,66,5,10,15,-20,81,11:37,0,0,75,6.7,1041,1,2,13,13.3,0,0,0.0
Rem Pitlick,C,46,6,9,15,-15,22,12:55,1,0,30,20.0,723,1,25,33,43.1,3,1,33.3
Michael Eyssimont,C,54,5,10,15,3,63,12:15,0,0,124,4.0,939,0,12,22,35.3,0,0,0.0
Rasmus Kupari,C,66,3,12,15,-5,12,10:05,0,0,53,5.7,942,0,221,182,54.8,0,0,0.0
Wade Allison,RW,60,9,6,15,-3,36,12:53,0,0,89,10.1,1035,2,1,5,16.7,0,0,0.0
Michael Pezzetta,LW,63,7,8,15,-4,77,9:19,0,1,70,10.0,794,0,8,12,40.0,1,1,100.0
Johnathan Kovacevic,D,77,3,12,15,3,39,17:25,0,0,92,3.3,1546,0,0,0,0.0,1,0,0.0
Aliaksei Protas,C,58,4,11,15,-8,12,11:31,0,0,83,4.8,910,0,21,43,32.8,0,0,0.0
Lukas Reichel,LW,23,7,8,15,-8,6,16:22,0,3,42,16.7,424,0,5,8,38.5,0,0,0.0
Justin Barron,D,39,4,11,15,-2,20,16:18,1,1,40,10.0,760,1,0,0,0.0,0,0,0.0
Luke Evangelista,RW,24,7,8,15,7,6,16:34,0,2,54,13.0,433,1,0,0,0.0,3,0,0.0
Dylan Guenther,RW,33,6,9,15,-7,10,13:06,4,2,53,11.3,601,1,2,2,50.0,0,0,0.0
Zachary Aston-Reese,C,77,10,4,14,-6,25,10:55,0,0,89,11.2,1229,2,7,7,50.0,0,0,0.0
